,Unnamed: 0,datedict,timedict,BLlist,BRList,entp,extp,percandlev,Fcv,VpTotal,VnTotal,Real,Predicted,Real_Predicted,abc,Won_Mode,Loose_Mode
30,30,2023-05-29,10:16:00,_2001.794,BR_-2260.201,794.7,791.3,172.65,458.641,30628.01,-28038.25,Loose,WON,Loose_WON,8.45552812605193,-17.493423553699216,-27.295862122517832
31,31,2023-05-29,11:46:00,_3102.031,BR_-4835.296,794.15,790.75,-6311.65,633.906,225404.663,-320079.419,Loose,Loose,Loose_Loose,-42.002128412046204,-17.493423553699216,-27.295862122517832
32,32,2023-05-29,13:01:00,BL_8168.891,-_-6993.555,793.2,794.5,-17164.79,828.517,590451.056,-847922.896,WON,Loose,WON_Loose,-43.605958086388796,-17.493423553699216,-27.295862122517832
33,33,2023-06-01,10:31:00,BL_726.872,-_-690.566,798.2,794.9,61.8,-110.68,11788.014,-10861.014,Loose,WON,Loose_WON,7.8639200801763565,-17.493423553699216,-27.295862122517832
34,34,2023-06-01,12:31:00,BL_3071.31,-_-2230.606,798.0,794.5,-3237.71,315.242,140436.87,-189002.492,Loose,Loose,Loose_Loose,-34.58181743868258,-17.493423553699216,-27.295862122517832
35,35,2023-06-02,10:31:00,BL_1725.897,-_-1052.719,796.25,796.0,-121.05,201.26,23994.372,-25810.068,Loose,Loose,Loose_Loose,-7.567174502420812,-17.493423553699216,-27.295862122517832
36,36,2023-06-02,11:31:00,BL_2593.47,-_-1644.197,797.4,794.1,-727.55,296.74,91752.8,-102666.03,Loose,Loose,Loose_Loose,-11.894165627642963,-17.493423553699216,-27.295862122517832
37,37,2023-06-02,13:01:00,BL_2651.675,-_-1837.112,796.55,796.0,-1211.16,-386.327,328274.848,-346442.288,Loose,Loose,Loose_Loose,-5.534216255276419,-17.493423553699216,-27.295862122517832
38,38,2023-06-02,13:31:00,BL_4138.956,-_-1984.831,797.65,794.1,453.34,-422.739,453073.194,-446273.028,Loose,WON,Loose_WON,1.500897888035297,-17.493423553699216,-27.295862122517832
39,39,2023-06-02,14:01:00,BL_3082.079,-_-2138.879,797.85,794.1,2083.8,-447.179,611870.4400000001,-580613.5,Loose,WON,Loose_WON,5.108424587401231,-17.493423553699216,-27.295862122517832
